Transcript of https://www.youtube.com/watch?v=bmbL3YdInYg

0:1010 sec      [mūzika]
2:46:432 hours, 46 minutes, 43 sec      skrīningiem, vakcināciju. Tas ir tās lietas, uz ko mēs arī nozarē šobrīd arvien vairāk un vairāk, protams, skatāmies. Ē, skaidrs, ka tas ilgtermiņā
2:46:522 hours, 46 minutes, 52 sec      dod lielāku atdevi. Tajā pašā laikā šobrīd varbūt uzsvars vai iepriekšējos periodos uzsvars ir bijis uz to tekošo
2:46:592 hours, 46 minutes, 59 sec      ārstēšanu, ja, tad šobrīd mainām to fokusu uz agrīnākām tiešām intervencēm.
2:47:062 hours, 47 minutes, 6 sec      Paldies.
2:47:082 hours, 47 minutes, 8 sec      Nu jā, un tad manas trīs lietas, diemžēl viena nesanāca, nezināju, kuru izvēlēties. Nu, pirmkārt, mums ir
2:47:162 hours, 47 minutes, 16 sec      jāīsteno šie te tematiskie funkcionālie auditi, lai rezultātā nonāktu pie secinājumiem, kas vēl ir tās pastāvošās
2:47:242 hours, 47 minutes, 24 sec      funkciju dublēšanās, no kurām mums vajadzētu atbrīvoties valsts pārvaldē un tādējādi arī ietaupīt resursus un kļūt efektīvākiem.
2:47:322 hours, 47 minutes, 32 sec      Tā ir viena konkrēta arī OECD rekomendācija šajā ziņojumā. Un man liekas, ka gan svarīga, gan arī īstermiņā īstenojama.
2:47:412 hours, 47 minutes, 41 sec      Otrs, manuprāt, ir nepieciešams pieņemt, atkal teikšu, politisku lēmumu par turpmāko atbalsta funkciju centralizāciju valsts pārvaldē, kas arī
2:47:502 hours, 47 minutes, 50 sec      izskan šajā ziņojumā un kas arī liekas svarīgi gan iepirkumu jomā, IKT jomā,
2:47:572 hours, 47 minutes, 57 sec      arī datu analītikas jomā, vēl citos jautājumos, kas ir horizontāli risināmie jautājumi. mums tiešām ir jāvirzās uz
2:48:062 hours, 48 minutes, 6 sec      to, ka mēs konsolidējam mūsu resursu, centralizējam šo te funkciju izpildi valsts pārvaldē. Tas, manuprāt, arī
2:48:152 hours, 48 minutes, 15 sec      būtiski ļaus uzlabot mūsu darbības efektivitāti. Nu, un trešais, ko es jau iepriekš pieminēju, mums ir jāpaina lēmumu pieņemšanas ātrums valsts
2:48:232 hours, 48 minutes, 23 sec      pārvaldē, un tāpēc arī Ministru kabinets būtu jāatbrīvo no vairākiem jautājumiem, kas tur šobrīd tiek izlemti, un, un jāatstāj tas ministriju ziņā. Paldies.
2:48:342 hours, 48 minutes, 34 sec      Grun kungs, jums tā iespēja noslēgt šo
2:48:442 hours, 48 minutes, 44 sec      mayocus longms
2:48:562 hours, 48 minutes, 56 sec      reforms banking de capitals.
2:49:072 hours, 49 minutes, 7 sec      pension funds like shifting percentage point of the mandatory contributions to the pillow system back that was shifted
2:49:152 hours, 49 minutes, 15 sec      to the public system now because of the income tax reform that has to be shifted back so that you have the 6% also going to the pate trunds so capital market
2:49:232 hours, 49 minutes, 23 sec      development and this needs to be combined with improved competition enforcement so competition enforcement
2:49:302 hours, 49 minutes, 30 sec      we have not touched about this too much In this we had a lot of that competition council uses the powers it
2:49:392 hours, 49 minutes, 39 sec      has to improve competition in a lot of markets. We had like food retail we didn't discuss this ne prices have
2:49:462 hours, 49 minutes, 46 sec      actually increased a lot in the last month year in Latvia and it's it's important to to cooperate and
2:49:552 hours, 49 minutes, 55 sec      like to try to involve the business sector there's a lot of like tools like warning letters that are used but strong
2:50:022 hours, 50 minutes, 2 sec      competition enforcement is really really important as well. So you need to to have that to force businesses to be more
2:50:102 hours, 50 minutes, 10 sec      innovative to be to force business to to be more creative and and raise productivity processes.
2:50:182 hours, 50 minutes, 18 sec      on fiscal policy if the public administration can underline what my colleagues said and and as well the
2:50:272 hours, 50 minutes, 27 sec      other collec health expendites that's key key priority you need to adjust in
2:50:342 hours, 50 minutes, 34 sec      other parts of the public administration and you also need to raise tax revenue.
2:50:412 hours, 50 minutes, 41 sec      property tax revenue C revenue strengthening tax enforcement improving the taxy
2:50:482 hours, 50 minutes, 48 sec      priorities for public goods defense health education teiksim paldies mūsu diskusijas dalībniekiem ar aplausiem paldies arī OECD kolēģiem par veikto ieguldījumu.
2:51:012 hours, 51 minutes, 1 secondJā, patiešām mēs redzam, ka OECD pāskats, tā nav tikai analīze, savā zziņā tas ir arī tests mūsu spējai izvēlēties prioritātes. mums spēj
2:51:082 hours, 51 minutes, 8 sec      sadarboties un mūs spēj strādāt ilgtermiņā. Tā kā es ceru, ka nākamajā reizē, kad pēc diviem gadiem, kad tiksimies atkal šeit uz nākamo ziņojumu,
2:51:162 hours, 51 minutes, 16 sec      ka varēsim teikt, o, šī diskusija tai skaitā nākusi talkā, un mums tās spējas un efektivitāte ir noteikti arī augusi.
2:51:242 hours, 51 minutes, 24 sec      Tikai vēlos atgādināt, uz ekrāna mums parādīsies arī QR kods. Ziņojuma digitālā versija būs pieejama jums, un
2:51:312 hours, 51 minutes, 31 sec      ar to mēs arī noslēdzam šodienas pasākumu. Mans vārds ir Artis Ozoliņš.
2:51:352 hours, 51 minutes, 35 sec      līdz nākamai reizei jau citā vietā un citā laikā. Paldies jums.
2:51:402 hours, 51 minutes, 40 sec      Paldies. [aplausi]
2:52:002 hours, 52 minutes[mūzika]
2:52:092 hours, 52 minutes, 9 sec      [mūzika]
2:52:192 hours, 52 minutes, 19 sec      [mūzika]
2:52:442 hours, 52 minutes, 44 sec      [mūzika]
2:52:542 hours, 52 minutes, 54 sec      [mūzika]
2:53:002 hours, 53 minutes[mūzika]
2:53:172 hours, 53 minutes, 17 sec      [mūzika]
2:53:332 hours, 53 minutes, 33 sec      [mūzika]
2:53:382 hours, 53 minutes, 38 sec      [mūzika]
2:54:032 hours, 54 minutes, 3 sec      [mūzika]
2:54:122 hours, 54 minutes, 12 sec      [mūzika]
